0,1,2,3,4,5,6,7,8
S. No.,S. No.,Crop / Variety,Procurement price (Rs.),Procurement price (Rs.),Procurement price (Rs.),Sale price (Rs.),Sale price (Rs.),Sale price (Rs.)
S. No.,S. No.,Crop / Variety,Foundation,Certified,TFL,Foundation,Certified,TFL
1.,Agricultural crops,Agricultural crops,,,,,,
(i),Paddy Varieties,Paddy Varieties,,,,,,
a.,Fine varieties (Annexure I),Fine varieties (Annexure I),37.00,34.00,32.00,44.00,39.00,37.00
b.,Medium varieties (Annexure I),Medium varieties (Annexure I),32.00,29.00,27.00,42.00,38.00,36.00
c.,Coarse varieties (Annexure I),Coarse varieties (Annexure I),31.00,28.00,26.00,40.00,37.00,31.00
d.,Traditional varieties (Land races),Traditional varieties (Land races),---,---,---,---,---,70.00
e.,Female parent (A line) of hybrids - Packed in cloth bag,Female parent (A line) of hybrids - Packed in cloth bag,---,---,---,190.00,---,---
f.,Female parent (A line) of hybrids - Packed in Polyester/ polythene laminated bag,Female parent (A line) of hybrids - Packed in Polyester/ polythene laminated bag,---,---,---,200.00,---,---
g.,BlineandRlineof hybrids,BlineandRlineof hybrids,---,---,---,40.00,---,---
h.,Hybrid seeds (F1) - Packed in cloth bag,Hybrid seeds (F1) - Packed in cloth bag,---,---,---,40.00,---,---
i.,Hybrid seeds (F1) - Packed in polyester polythene laminated bag,Hybrid seeds (F1) - Packed in polyester polythene laminated bag,---,155.00,145.00,---,190.00,180.00
(ii),Wheat varieties,Wheat varieties,25.00,20.00,18.00,35.00,32.00,30.00
